,Ticker,Name,Exchange,Category Name,Country
9001,PFC.NS,Power Finance Corporation Limited,NSI,Credit Services,India
9016,NIKKIGL.BO,Nikki Global Finance Limited,BSE,,India
9022,MUTHOOTFIN.NS,Muthoot Finance Limited,NSI,Credit Services,India
9045,MAX.NS,Max Financial Services Limited,NSI,,India
9046,MAGMA.NS,Magma Fincorp Limited,NSI,Credit Services,India
9053,KZLFIN.BO,KZ Leasing & Finance Ltd.,BSE,,India
9071,IFSL.BO,Integrated Financial Services Limited,BSE,,India
9079,HNDFDS.BO,Hindustan Foods Limited,BSE,,India
9080,HILTON.BO,Hilton Metal Forging Limitied,BSE,,India
9086,GOWRALE.BO,Gowra Leasing & Finance Ltd.,BSE,,India
9095,GEEFC.BO,Geefcee Finance Limited,BSE,,India
9144,FORCEMOT.BO,Force Motors Ltd.,BSE,,India
9145,FOODSIN.BO,Foods & Inns Ltd.,BSE,,India
9181,FILME.BO,Filmcity Media Ltd.,BSE,,India
9192,FFPL.BO,Foundry Fuel Products Ltd.,BSE,,India
9245,FACT.NS,The Fertilisers And Chemicals Travancore Limited,NSI,Agricultural Chemicals,India
9285,ARORAFIB.BO,Arora Fibres,BSE,,India
9306,AJWAFUN.BO,Ajwa Fun World & Resort Ltd,BSE,,India
9313,ADMANUM.BO,Ad-Manum Finance Ltd,BSE,,India
9327,ZSUBWAYF.BO,"Subway Finance & Investment Co., Ltd.",BSE,,India
9328,ZSIYARPO.BO,SIYARAM PODDAR FINANCE & TRADI,BSE,,India
9329,ZSHERAPR.BO,SHERATON PROPERTIES & FINANCE,BSE,,India
9330,ZSAMPKTR.BO,SAMPARK TRADING & FINANCE LTD.,BSE,,India
9331,ZNIVEMER.BO,Nivedita Mercantile & Financing Ltd.,BSE,,India
9348,WSFIN.BO,Wall Street Finance Ltd.,BSE,,India
9362,WEIZFOREX.NS,Weizmann Forex Limited,NSI,Investment Brokerage - National,India
9363,WEIZFOREX.BO,WEIZMANN FOREX LTD.,BSE,,India
9366,WALLFORT.BO,Wallfort Financial Services Limited,BSE,,India
9373,VOITHPAPR.BO,Voith Paper Fabrics India Limited,BSE,,India
9389,VBCFERROQ.BO,VBC Ferro Alloys Limited,BSE,,India
9391,VAXHS.BO,Vax Housing Finance Corporation Ltd.,BSE,,India
9399,UPASAFN.BO,Upasana Finance Ltd,BSE,,India
9421,TIRFOAM.BO,Tirupati Foam Limited,BSE,,India
10071,GSPL.NS,Gujarat State Petronet Limited,NSI,Gas Utilities,India
10111,GAYAPROJ.BO,Gayatri Projects Limited,BSE,,India
10113,GAIL.NS,GAIL (India) Limited,NSI,Gas Utilities,India
10221,TAJGVK.BO,TAJGVK Hotels & Resorts Limited,BSE,,India
10329,POWERGRID.NS,Power Grid Corporation of India Limited,NSI,Electric Utilities,India
